,real_time,WT_Runcode,iGenPower,iGenSpeed,iTemp1GearOil_1sec,iTempGearBearDE_1sec,iTempGearBearNDE_1sec,iTempNacelle_1sec,iWindSpeed
195,2017-11-15 08:16:15,3,2007,1735,58.1,59.5,62.5,16.5,11.25
196,2017-11-15 08:16:16,3,1978,1737,58.1,59.5,62.5,16.5,11.55
197,2017-11-15 08:16:17,3,1961,1738,58.1,59.5,62.5,16.5,11.75
198,2017-11-15 08:16:18,3,1972,1738,58.1,59.5,62.5,16.5,11.45
199,2017-11-15 08:16:19,3,1979,1742,58.0,59.5,62.5,16.5,11.68
200,2017-11-15 08:16:20,3,1995,1744,58.1,59.5,62.5,16.5,12.67
201,2017-11-15 08:16:21,3,2010,1745,58.1,59.5,62.4,16.5,11.32
202,2017-11-15 08:16:22,3,2046,1750,58.0,59.5,62.5,16.5,11.69
203,2017-11-15 08:16:23,3,2051,1752,58.0,59.5,62.5,16.5,11.6
204,2017-11-15 08:16:24,3,2053,1755,58.1,59.5,62.5,16.5,11.97
205,2017-11-15 08:16:25,3,2054,1757,58.1,59.5,62.5,16.5,11.73
206,2017-11-15 08:16:26,3,2051,1762,58.1,59.5,62.5,16.5,11.92
207,2017-11-15 08:16:27,3,2057,1767,58.0,59.5,62.5,16.5,11.95
208,2017-11-15 08:16:28,3,2058,1772,58.0,59.5,62.5,16.5,11.75
209,2017-11-15 08:16:29,3,2055,1776,58.0,59.5,62.5,16.5,11.58
210,2017-11-15 08:16:30,3,2056,1780,58.0,59.5,62.5,16.5,11.87
211,2017-11-15 08:16:31,3,2057,1785,58.0,59.5,62.5,16.5,10.71
212,2017-11-15 08:16:32,3,2040,1781,58.0,59.5,62.5,16.5,12.63
213,2017-11-15 08:16:33,3,2047,1781,58.0,59.5,62.5,16.5,11.3
214,2017-11-15 08:16:34,3,2046,1777,58.1,59.5,62.5,16.5,11.62
215,2017-11-15 08:16:35,3,2046,1772,58.1,59.5,62.5,16.5,12.25
216,2017-11-15 08:16:36,3,2050,1770,58.1,59.5,62.5,16.4,11.06
